gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,average_score,pass_fail,total_score,score_variation,performance_category,has_test_prep,has_standard_lunch
female,group C,some high school,standard,none,69,73,73,71.66666666666667,Pass,215,2.3094010767585034,Good,0,1
male,group D,bachelor's degree,free/reduced,completed,74,71,80,75.0,Pass,225,4.58257569495584,Good,1,0
male,group A,master's degree,free/reduced,none,73,74,72,73.0,Pass,219,1.0,Good,0,0
male,group B,some college,standard,none,69,54,55,59.333333333333336,Fail,178,8.386497083606084,Below Average,0,1
female,group C,bachelor's degree,standard,none,67,69,75,70.33333333333333,Pass,211,4.163331998932265,Good,0,1
male,group C,high school,standard,none,70,70,65,68.33333333333333,Pass,205,2.8867513459481287,Average,0,1
female,group D,master's degree,standard,none,62,70,75,69.0,Pass,207,6.557438524302,Average,0,1
female,group D,some college,standard,none,69,74,74,72.33333333333333,Pass,217,2.8867513459481287,Good,0,1
female,group B,some college,standard,none,63,65,61,63.0,Pass,189,2.0,Average,0,1
female,group E,master's degree,free/reduced,none,56,72,65,64.33333333333333,Pass,193,8.020806277010644,Average,0,0
male,group D,some college,standard,none,40,42,38,40.0,Fail,120,2.0,Poor,0,1
male,group E,some college,standard,none,97,87,82,88.66666666666667,Pass,266,7.637626158259733,Excellent,0,1
male,group E,associate's degree,standard,completed,81,81,79,80.33333333333333,Pass,241,1.1547005383792517,Good,1,1
female,group D,associate's degree,standard,none,74,81,83,79.33333333333333,Pass,238,4.725815626252608,Good,0,1
female,group D,some high school,free/reduced,none,50,64,59,57.666666666666664,Fail,173,7.094598884597588,Below Average,0,0
female,group D,associate's degree,free/reduced,completed,75,90,88,84.33333333333333,Pass,253,8.144527815247079,Good,1,0
male,group B,associate's degree,free/reduced,none,57,56,57,56.666666666666664,Fail,170,0.5773502691896258,Below Average,0,0
male,group C,associate's degree,free/reduced,none,55,61,54,56.666666666666664,Fail,170,3.785938897200183,Below Average,0,0
female,group C,associate's degree,standard,none,58,73,68,66.33333333333333,Pass,199,7.637626158259734,Average,0,1
female,group B,associate's degree,standard,none,53,58,65,58.666666666666664,Fail,176,6.027713773341708,Below Average,0,1
male,group B,some college,free/reduced,completed,59,65,66,63.333333333333336,Pass,190,3.7859388972001824,Average,1,0
female,group E,associate's degree,free/reduced,none,50,56,54,53.333333333333336,Fail,160,3.055050463303893,Below Average,0,0
male,group B,associate's degree,standard,none,65,54,57,58.666666666666664,Fail,176,5.686240703077327,Below Average,0,1
female,group A,associate's degree,standard,completed,55,65,62,60.666666666666664,Pass,182,5.131601439446884,Average,1,1
female,group C,high school,standard,none,66,71,76,71.0,Pass,213,5.0,Good,0,1
female,group D,associate's degree,free/reduced,completed,57,74,76,69.0,Pass,207,10.44030650891055,Average,1,0
male,group C,high school,standard,completed,82,84,82,82.66666666666667,Pass,248,1.1547005383792515,Good,1,1
male,group E,some college,standard,none,53,55,48,52.0,Fail,156,3.605551275463989,Below Average,0,1
male,group E,associate's degree,free/reduced,completed,77,69,68,71.33333333333333,Pass,214,4.932882862316247,Good,1,0
male,group C,some college,standard,none,53,44,42,46.333333333333336,Fail,139,5.859465277082315,Poor,0,1
male,group D,high school,standard,none,88,78,75,80.33333333333333,Pass,241,6.8068592855540455,Good,0,1
female,group C,some high school,free/reduced,completed,71,84,87,80.66666666666667,Pass,242,8.504900548115382,Good,1,0
female,group C,high school,free/reduced,none,33,41,43,39.0,Fail,117,5.291502622129181,Poor,0,0
female,group E,associate's degree,standard,completed,82,85,86,84.33333333333333,Pass,253,2.081665999466133,Good,1,1
male,group D,associate's degree,standard,none,52,55,49,52.0,Fail,156,3.0,Below Average,0,1
male,group D,some college,standard,completed,58,59,58,58.333333333333336,Fail,175,0.5773502691896257,Below Average,1,1
female,group C,some high school,free/reduced,none,0,17,10,9.0,Fail,27,8.54400374531753,Poor,0,0
male,group E,bachelor's degree,free/reduced,completed,79,74,72,75.0,Pass,225,3.605551275463989,Good,1,0
male,group A,some high school,free/reduced,none,39,39,34,37.333333333333336,Fail,112,2.8867513459481287,Poor,0,0
male,group A,associate's degree,free/reduced,none,62,61,55,59.333333333333336,Fail,178,3.7859388972001824,Below Average,0,0
female,group C,associate's degree,standard,none,69,80,71,73.33333333333333,Pass,220,5.8594652770823155,Good,0,1
female,group D,some high school,standard,none,59,58,59,58.666666666666664,Fail,176,0.5773502691896258,Below Average,0,1
male,group B,some high school,standard,none,67,64,61,64.0,Pass,192,3.0,Average,0,1
male,group D,some high school,free/reduced,none,45,37,37,39.666666666666664,Fail,119,4.618802153517007,Poor,0,0
female,group C,some college,standard,none,60,72,74,68.66666666666667,Pass,206,7.571877794400365,Average,0,1
male,group B,associate's degree,free/reduced,none,61,58,56,58.333333333333336,Fail,175,2.5166114784235836,Below Average,0,0
female,group C,associate's degree,standard,none,39,64,57,53.333333333333336,Fail,160,12.897028081435401,Below Average,0,1
female,group D,some college,free/reduced,completed,58,63,73,64.66666666666667,Pass,194,7.637626158259733,Average,1,0
male,group D,some college,standard,completed,63,55,63,60.333333333333336,Pass,181,4.618802153517006,Average,1,1
female,group A,associate's degree,free/reduced,none,41,51,48,46.666666666666664,Fail,140,5.131601439446884,Poor,0,0
male,group C,some high school,free/reduced,none,61,57,56,58.0,Fail,174,2.6457513110645907,Below Average,0,0
male,group C,some high school,standard,none,49,49,41,46.333333333333336,Fail,139,4.618802153517006,Poor,0,1
male,group B,associate's degree,free/reduced,none,44,41,38,41.0,Fail,123,3.0,Poor,0,0
male,group E,some high school,standard,none,30,26,22,26.0,Fail,78,4.0,Poor,0,1
male,group A,bachelor's degree,standard,completed,80,78,81,79.66666666666667,Pass,239,1.5275252316519465,Good,1,1
female,group D,some high school,standard,completed,61,74,72,69.0,Pass,207,7.0,Average,1,1
female,group E,master's degree,standard,none,62,68,68,66.0,Pass,198,3.4641016151377544,Average,0,1
female,group B,associate's degree,standard,none,47,49,50,48.666666666666664,Fail,146,1.5275252316519465,Poor,0,1
male,group B,high school,free/reduced,none,49,45,45,46.333333333333336,Fail,139,2.3094010767585034,Poor,0,0
male,group A,some college,free/reduced,completed,50,47,54,50.333333333333336,Fail,151,3.511884584284246,Below Average,1,0
male,group E,associate's degree,standard,none,72,64,63,66.33333333333333,Pass,199,4.932882862316247,Average,0,1
male,group D,high school,free/reduced,none,42,39,34,38.333333333333336,Fail,115,4.041451884327381,Poor,0,0
female,group C,some college,standard,none,73,80,82,78.33333333333333,Pass,235,4.725815626252608,Good,0,1
female,group C,some college,free/reduced,none,76,83,88,82.33333333333333,Pass,247,6.027713773341707,Good,0,0
female,group D,associate's degree,standard,none,71,71,74,72.0,Pass,216,1.7320508075688772,Good,0,1
female,group A,some college,standard,none,58,70,67,65.0,Pass,195,6.244997998398398,Average,0,1
female,group D,some high school,standard,none,73,86,82,80.33333333333333,Pass,241,6.658328118479393,Good,0,1
female,group C,bachelor's degree,standard,none,65,72,74,70.33333333333333,Pass,211,4.725815626252608,Good,0,1
male,group C,high school,free/reduced,none,27,34,36,32.333333333333336,Fail,97,4.725815626252608,Poor,0,0
male,group C,high school,standard,none,71,79,71,73.66666666666667,Pass,221,4.618802153517007,Good,0,1
male,group C,associate's degree,free/reduced,completed,43,45,50,46.0,Fail,138,3.605551275463989,Poor,1,0
female,group B,some college,standard,none,79,86,92,85.66666666666667,Pass,257,6.506407098647712,Excellent,0,1
male,group C,associate's degree,free/reduced,completed,78,81,82,80.33333333333333,Pass,241,2.081665999466133,Good,1,0
male,group B,some high school,standard,completed,65,66,62,64.33333333333333,Pass,193,2.081665999466133,Average,1,1
female,group E,some college,standard,completed,63,72,70,68.33333333333333,Pass,205,4.725815626252608,Average,1,1
female,group D,some college,free/reduced,none,58,67,62,62.333333333333336,Pass,187,4.509249752822894,Average,0,0
female,group D,bachelor's degree,standard,none,65,67,62,64.66666666666667,Pass,194,2.5166114784235836,Average,0,1
male,group B,some college,standard,none,79,67,67,71.0,Pass,213,6.928203230275509,Good,0,1
male,group D,bachelor's degree,standard,completed,68,74,74,72.0,Pass,216,3.4641016151377544,Good,1,1
female,group D,associate's degree,standard,none,85,91,89,88.33333333333333,Pass,265,3.055050463303893,Excellent,0,1
male,group B,high school,standard,completed,60,44,47,50.333333333333336,Fail,151,8.504900548115383,Below Average,1,1
male,group C,some college,standard,completed,98,86,90,91.33333333333333,Pass,274,6.110100926607787,Excellent,1,1
female,group C,some college,standard,none,58,67,72,65.66666666666667,Pass,197,7.094598884597588,Average,0,1
female,group D,master's degree,standard,none,87,100,100,95.66666666666667,Pass,287,7.505553499465135,Excellent,0,1
male,group E,associate's degree,standard,completed,66,63,64,64.33333333333333,Pass,193,1.5275252316519468,Average,1,1
female,group B,associate's degree,free/reduced,none,52,76,70,66.0,Pass,198,12.489995996796797,Average,0,0
female,group B,some high school,standard,none,70,64,72,68.66666666666667,Pass,206,4.163331998932266,Average,0,1
female,group D,associate's degree,free/reduced,completed,77,89,98,88.0,Pass,264,10.535653752852738,Excellent,1,0
male,group C,high school,standard,none,62,55,49,55.333333333333336,Fail,166,6.506407098647712,Below Average,0,1
male,group A,associate's degree,standard,none,54,53,47,51.333333333333336,Fail,154,3.7859388972001824,Below Average,0,1
female,group D,some college,standard,none,51,58,54,54.333333333333336,Fail,163,3.511884584284246,Below Average,0,1
female,group E,bachelor's degree,standard,completed,99,100,100,99.66666666666667,Pass,299,0.5773502691896258,Excellent,1,1
male,group C,high school,standard,none,84,77,74,78.33333333333333,Pass,235,5.131601439446884,Good,0,1
female,group B,bachelor's degree,free/reduced,none,75,85,82,80.66666666666667,Pass,242,5.131601439446884,Good,0,0
female,group D,bachelor's degree,standard,none,78,82,79,79.66666666666667,Pass,239,2.081665999466133,Good,0,1
female,group D,some high school,standard,none,51,63,61,58.333333333333336,Fail,175,6.429100507328637,Below Average,0,1
female,group C,some college,standard,none,55,69,65,63.0,Pass,189,7.211102550927978,Average,0,1
female,group C,bachelor's degree,standard,completed,79,92,89,86.66666666666667,Pass,260,6.8068592855540455,Excellent,1,1
male,group B,associate's degree,standard,completed,91,89,92,90.66666666666667,Pass,272,1.5275252316519465,Excellent,1,1
female,group C,some college,standard,completed,88,93,93,91.33333333333333,Pass,274,2.8867513459481287,Excellent,1,1
male,group D,high school,free/reduced,none,63,57,56,58.666666666666664,Fail,176,3.785938897200183,Below Average,0,0
male,group E,some college,standard,none,83,80,73,78.66666666666667,Pass,236,5.131601439446884,Good,0,1
female,group B,high school,standard,none,87,95,86,89.33333333333333,Pass,268,4.932882862316247,Excellent,0,1
male,group B,some high school,standard,none,72,68,67,69.0,Pass,207,2.6457513110645907,Average,0,1
male,group D,some college,standard,completed,65,77,74,72.0,Pass,216,6.244997998398398,Good,1,1
male,group D,master's degree,standard,none,82,82,74,79.33333333333333,Pass,238,4.618802153517006,Good,0,1
female,group A,bachelor's degree,standard,none,51,49,51,50.333333333333336,Fail,151,1.1547005383792517,Below Average,0,1
male,group D,master's degree,standard,none,89,84,82,85.0,Pass,255,3.605551275463989,Excellent,0,1
male,group C,some high school,free/reduced,completed,53,37,40,43.333333333333336,Fail,130,8.504900548115383,Poor,1,0
male,group E,some college,free/reduced,completed,87,74,70,77.0,Pass,231,8.888194417315589,Good,1,0
female,group C,some college,standard,completed,75,81,84,80.0,Pass,240,4.58257569495584,Good,1,1
male,group D,bachelor's degree,free/reduced,completed,74,79,75,76.0,Pass,228,2.6457513110645907,Good,1,0
male,group C,bachelor's degree,standard,none,58,55,48,53.666666666666664,Fail,161,5.131601439446884,Below Average,0,1
male,group B,some high school,standard,completed,51,54,41,48.666666666666664,Fail,146,6.8068592855540455,Poor,1,1
male,group E,high school,standard,none,70,55,56,60.333333333333336,Pass,181,8.386497083606084,Average,0,1
female,group C,associate's degree,standard,none,59,66,67,64.0,Pass,192,4.358898943540674,Average,0,1
male,group D,some college,standard,completed,71,61,69,67.0,Pass,201,5.291502622129181,Average,1,1
female,group D,some high school,standard,none,76,72,71,73.0,Pass,219,2.6457513110645907,Good,0,1
female,group C,some college,free/reduced,none,59,62,64,61.666666666666664,Pass,185,2.516611478423583,Average,0,0
female,group E,some college,free/reduced,completed,42,55,54,50.333333333333336,Fail,151,7.234178138070236,Below Average,1,0
male,group A,high school,standard,none,57,43,47,49.0,Fail,147,7.211102550927978,Poor,0,1
male,group D,some college,standard,none,88,73,78,79.66666666666667,Pass,239,7.637626158259733,Good,0,1
female,group C,some college,free/reduced,none,22,39,33,31.333333333333332,Fail,94,8.621678104251709,Poor,0,0
male,group B,some high school,standard,none,88,84,75,82.33333333333333,Pass,247,6.6583281184793925,Good,0,1
male,group C,associate's degree,free/reduced,none,73,68,66,69.0,Pass,207,3.605551275463989,Average,0,0
female,group D,bachelor's degree,standard,completed,68,75,81,74.66666666666667,Pass,224,6.506407098647712,Good,1,1
male,group E,associate's degree,free/reduced,completed,100,100,93,97.66666666666667,Pass,293,4.041451884327381,Excellent,1,0
male,group A,some high school,standard,completed,62,67,69,66.0,Pass,198,3.605551275463989,Average,1,1
male,group A,bachelor's degree,standard,none,77,67,68,70.66666666666667,Pass,212,5.507570547286101,Good,0,1
female,group B,associate's degree,standard,completed,59,70,66,65.0,Pass,195,5.5677643628300215,Average,1,1
male,group D,bachelor's degree,standard,none,54,49,47,50.0,Fail,150,3.605551275463989,Below Average,0,1
male,group D,some high school,standard,none,62,67,61,63.333333333333336,Pass,190,3.214550253664318,Average,0,1
female,group C,some college,standard,completed,70,89,88,82.33333333333333,Pass,247,10.692676621563628,Good,1,1
female,group E,high school,free/reduced,completed,66,74,78,72.66666666666667,Pass,218,6.110100926607786,Good,1,0
male,group B,some college,free/reduced,none,60,60,60,60.0,Pass,180,0.0,Average,0,0
female,group B,associate's degree,standard,completed,61,86,87,78.0,Pass,234,14.730919862656235,Good,1,1
male,group D,associate's degree,free/reduced,none,66,62,64,64.0,Pass,192,2.0,Average,0,0
male,group B,associate's degree,free/reduced,completed,82,78,74,78.0,Pass,234,4.0,Good,1,0
female,group E,some college,free/reduced,completed,75,88,85,82.66666666666667,Pass,248,6.8068592855540455,Good,1,0
male,group B,master's degree,free/reduced,none,49,53,52,51.333333333333336,Fail,154,2.0816659994661326,Below Average,0,0
male,group C,high school,standard,none,52,53,49,51.333333333333336,Fail,154,2.081665999466133,Below Average,0,1
female,group E,master's degree,standard,none,81,92,91,88.0,Pass,264,6.082762530298219,Excellent,0,1
female,group C,bachelor's degree,standard,completed,96,100,100,98.66666666666667,Pass,296,2.3094010767585034,Excellent,1,1
male,group C,high school,free/reduced,completed,53,51,51,51.666666666666664,Fail,155,1.1547005383792517,Below Average,1,0
female,group B,master's degree,free/reduced,completed,58,76,78,70.66666666666667,Pass,212,11.015141094572204,Good,1,0
female,group B,high school,standard,completed,68,83,78,76.33333333333333,Pass,229,7.637626158259734,Good,1,1
female,group C,some college,free/reduced,completed,67,75,70,70.66666666666667,Pass,212,4.041451884327381,Good,1,0
male,group A,high school,standard,completed,72,73,74,73.0,Pass,219,1.0,Good,1,1
male,group E,some high school,standard,none,94,88,78,86.66666666666667,Pass,260,8.082903768654761,Excellent,0,1
female,group D,some college,standard,none,79,86,81,82.0,Pass,246,3.605551275463989,Good,0,1
female,group C,associate's degree,standard,none,63,67,70,66.66666666666667,Pass,200,3.5118845842842465,Average,0,1
female,group C,bachelor's degree,free/reduced,completed,43,51,54,49.333333333333336,Fail,148,5.686240703077327,Poor,1,0
female,group C,master's degree,standard,completed,81,91,87,86.33333333333333,Pass,259,5.033222956847166,Excellent,1,1
female,group B,high school,free/reduced,completed,46,54,58,52.666666666666664,Fail,158,6.110100926607787,Below Average,1,0
female,group C,associate's degree,standard,completed,71,77,77,75.0,Pass,225,3.4641016151377544,Good,1,1
female,group B,master's degree,free/reduced,completed,52,70,62,61.333333333333336,Pass,184,9.018499505645789,Average,1,0
female,group D,some high school,standard,completed,97,100,100,99.0,Pass,297,1.7320508075688772,Excellent,1,1
male,group C,master's degree,free/reduced,completed,62,68,75,68.33333333333333,Pass,205,6.506407098647712,Average,1,0
female,group C,some college,free/reduced,none,46,64,66,58.666666666666664,Fail,176,11.015141094572204,Below Average,0,0
female,group E,high school,standard,none,50,50,47,49.0,Fail,147,1.7320508075688772,Poor,0,1
female,group D,associate's degree,standard,none,65,69,70,68.0,Pass,204,2.6457513110645907,Average,0,1
male,group C,some high school,free/reduced,completed,45,52,49,48.666666666666664,Fail,146,3.5118845842842465,Poor,1,0
male,group C,associate's degree,free/reduced,completed,65,67,65,65.66666666666667,Pass,197,1.1547005383792515,Average,1,0
male,group E,high school,standard,none,80,76,65,73.66666666666667,Pass,221,7.767453465154029,Good,0,1
male,group D,some high school,standard,completed,62,66,68,65.33333333333333,Pass,196,3.055050463303893,Average,1,1
male,group B,some high school,free/reduced,none,48,52,45,48.333333333333336,Fail,145,3.511884584284246,Poor,0,0
female,group C,bachelor's degree,standard,none,77,88,87,84.0,Pass,252,6.082762530298219,Good,0,1
female,group E,associate's degree,standard,none,66,65,69,66.66666666666667,Pass,200,2.081665999466133,Average,0,1
male,group D,some college,standard,completed,76,83,79,79.33333333333333,Pass,238,3.511884584284246,Good,1,1
female,group B,some high school,standard,none,62,64,66,64.0,Pass,192,2.0,Average,0,1
male,group D,some college,standard,completed,77,62,62,67.0,Pass,201,8.660254037844387,Average,1,1
female,group C,master's degree,standard,completed,69,84,85,79.33333333333333,Pass,238,8.962886439832502,Good,1,1
male,group D,associate's degree,standard,none,61,55,52,56.0,Fail,168,4.58257569495584,Below Average,0,1
male,group C,some high school,free/reduced,completed,59,69,65,64.33333333333333,Pass,193,5.033222956847166,Average,1,0
male,group E,high school,free/reduced,none,55,56,51,54.0,Fail,162,2.6457513110645907,Below Average,0,0
female,group B,some college,free/reduced,none,45,53,55,51.0,Fail,153,5.291502622129181,Below Average,0,0
female,group B,bachelor's degree,free/reduced,none,78,79,76,77.66666666666667,Pass,233,1.5275252316519465,Good,0,0
female,group C,associate's degree,standard,completed,67,84,86,79.0,Pass,237,10.44030650891055,Good,1,1
female,group D,some college,free/reduced,none,65,81,77,74.33333333333333,Pass,223,8.326663997864532,Good,0,0
male,group C,associate's degree,standard,none,69,77,69,71.66666666666667,Pass,215,4.618802153517007,Good,0,1
female,group B,associate's degree,standard,none,57,69,68,64.66666666666667,Pass,194,6.6583281184793925,Average,0,1
male,group C,some college,standard,none,59,41,42,47.333333333333336,Fail,142,10.115993936995679,Poor,0,1
male,group D,some high school,standard,completed,74,71,78,74.33333333333333,Pass,223,3.511884584284246,Good,1,1
male,group E,bachelor's degree,standard,none,82,62,62,68.66666666666667,Pass,206,11.547005383792515,Average,0,1
male,group E,high school,standard,completed,81,80,76,79.0,Pass,237,2.6457513110645907,Good,1,1
female,group B,some college,free/reduced,none,74,81,76,77.0,Pass,231,3.605551275463989,Good,0,0
female,group B,some college,free/reduced,none,58,61,66,61.666666666666664,Pass,185,4.041451884327381,Average,0,0
male,group D,some high school,free/reduced,completed,80,79,79,79.33333333333333,Pass,238,0.5773502691896257,Good,1,0
male,group C,some college,free/reduced,none,35,28,27,30.0,Fail,90,4.358898943540674,Poor,0,0
female,group C,high school,free/reduced,none,42,62,60,54.666666666666664,Fail,164,11.015141094572202,Below Average,0,0
male,group C,associate's degree,free/reduced,completed,60,51,56,55.666666666666664,Fail,167,4.509249752822894,Below Average,1,0
male,group E,high school,standard,completed,87,91,81,86.33333333333333,Pass,259,5.033222956847166,Excellent,1,1
male,group B,some high school,standard,completed,84,83,75,80.66666666666667,Pass,242,4.932882862316247,Good,1,1
female,group E,associate's degree,free/reduced,completed,83,86,88,85.66666666666667,Pass,257,2.5166114784235836,Excellent,1,0
female,group C,high school,free/reduced,none,34,42,39,38.333333333333336,Fail,115,4.041451884327381,Poor,0,0
male,group B,high school,free/reduced,none,66,77,70,71.0,Pass,213,5.5677643628300215,Good,0,0
male,group B,some high school,standard,completed,61,56,56,57.666666666666664,Fail,173,2.8867513459481287,Below Average,1,1
female,group D,high school,standard,completed,56,68,74,66.0,Pass,198,9.16515138991168,Average,1,1
male,group B,associate's degree,standard,none,87,85,73,81.66666666666667,Pass,245,7.571877794400365,Good,0,1
female,group C,some high school,free/reduced,none,55,65,62,60.666666666666664,Pass,182,5.131601439446884,Average,0,0
male,group D,some high school,standard,none,86,80,75,80.33333333333333,Pass,241,5.507570547286102,Good,0,1
female,group B,associate's degree,standard,completed,52,66,73,63.666666666666664,Pass,191,10.692676621563628,Average,1,1
female,group E,master's degree,free/reduced,none,45,56,54,51.666666666666664,Fail,155,5.8594652770823155,Below Average,0,0
female,group C,some college,standard,none,72,72,71,71.66666666666667,Pass,215,0.5773502691896258,Good,0,1
male,group D,high school,standard,none,57,50,54,53.666666666666664,Fail,161,3.5118845842842465,Below Average,0,1
male,group A,some high school,free/reduced,none,68,72,64,68.0,Pass,204,4.0,Average,0,0
female,group C,some college,standard,completed,88,95,94,92.33333333333333,Pass,277,3.7859388972001824,Excellent,1,1
male,group D,some college,standard,none,76,64,66,68.66666666666667,Pass,206,6.429100507328636,Average,0,1
male,group C,associate's degree,standard,none,46,43,42,43.666666666666664,Fail,131,2.0816659994661326,Poor,0,1
female,group B,bachelor's degree,standard,none,67,86,83,78.66666666666667,Pass,236,10.214368964029708,Good,0,1
male,group E,some high school,standard,none,92,87,78,85.66666666666667,Pass,257,7.094598884597588,Excellent,0,1
male,group C,bachelor's degree,standard,completed,83,82,84,83.0,Pass,249,1.0,Good,1,1
male,group D,associate's degree,standard,none,80,75,77,77.33333333333333,Pass,232,2.516611478423583,Good,0,1
male,group D,bachelor's degree,free/reduced,none,63,66,67,65.33333333333333,Pass,196,2.081665999466133,Average,0,0
female,group D,some high school,standard,completed,64,60,74,66.0,Pass,198,7.211102550927978,Average,1,1
male,group B,some college,standard,none,54,52,51,52.333333333333336,Fail,157,1.5275252316519468,Below Average,0,1
male,group C,associate's degree,standard,none,84,80,80,81.33333333333333,Pass,244,2.3094010767585034,Good,0,1
male,group D,high school,free/reduced,completed,73,68,66,69.0,Pass,207,3.605551275463989,Average,1,0
female,group E,bachelor's degree,standard,none,80,83,83,82.0,Pass,246,1.7320508075688772,Good,0,1
female,group D,high school,standard,none,56,52,55,54.333333333333336,Fail,163,2.0816659994661326,Below Average,0,1
male,group E,some college,standard,none,59,51,43,51.0,Fail,153,8.0,Below Average,0,1
male,group D,some high school,standard,none,75,74,69,72.66666666666667,Pass,218,3.2145502536643185,Good,0,1
male,group C,associate's degree,standard,none,85,76,71,77.33333333333333,Pass,232,7.094598884597588,Good,0,1
male,group E,associate's degree,standard,none,89,76,74,79.66666666666667,Pass,239,8.144527815247077,Good,0,1
female,group B,high school,standard,completed,58,70,68,65.33333333333333,Pass,196,6.429100507328637,Average,1,1
female,group B,high school,standard,none,65,64,62,63.666666666666664,Pass,191,1.5275252316519465,Average,0,1
male,group C,high school,standard,none,68,60,53,60.333333333333336,Pass,181,7.505553499465135,Average,0,1
male,group A,some high school,standard,completed,47,49,49,48.333333333333336,Fail,145,1.1547005383792517,Poor,1,1
female,group D,some college,free/reduced,none,71,83,83,79.0,Pass,237,6.928203230275509,Good,0,0
female,group B,some high school,standard,completed,60,70,70,66.66666666666667,Pass,200,5.773502691896257,Average,1,1
male,group D,master's degree,standard,none,80,80,72,77.33333333333333,Pass,232,4.618802153517006,Good,0,1
male,group D,high school,standard,none,54,52,52,52.666666666666664,Fail,158,1.1547005383792517,Below Average,0,1
female,group E,some college,standard,none,62,73,70,68.33333333333333,Pass,205,5.686240703077327,Average,0,1
female,group C,associate's degree,free/reduced,none,64,73,68,68.33333333333333,Pass,205,4.509249752822894,Average,0,0
male,group C,associate's degree,standard,completed,78,77,77,77.33333333333333,Pass,232,0.5773502691896257,Good,1,1
female,group B,some college,standard,none,70,75,78,74.33333333333333,Pass,223,4.041451884327381,Good,0,1
female,group C,master's degree,free/reduced,completed,65,81,81,75.66666666666667,Pass,227,9.237604307034012,Good,1,0
female,group C,some high school,free/reduced,completed,64,79,77,73.33333333333333,Pass,220,8.144527815247079,Good,1,0
male,group C,some college,standard,completed,79,79,78,78.66666666666667,Pass,236,0.5773502691896258,Good,1,1
female,group C,some high school,free/reduced,none,44,50,51,48.333333333333336,Fail,145,3.7859388972001824,Poor,0,0
female,group E,high school,standard,none,99,93,90,94.0,Pass,282,4.58257569495584,Excellent,0,1
male,group D,high school,standard,none,76,73,68,72.33333333333333,Pass,217,4.041451884327381,Good,0,1
male,group D,some high school,free/reduced,none,59,42,41,47.333333333333336,Fail,142,10.115993936995679,Poor,0,0
female,group C,bachelor's degree,standard,none,63,75,81,73.0,Pass,219,9.16515138991168,Good,0,1
female,group D,high school,standard,none,69,72,77,72.66666666666667,Pass,218,4.041451884327381,Good,0,1
female,group D,associate's degree,standard,completed,88,92,95,91.66666666666667,Pass,275,3.5118845842842465,Excellent,1,1
female,group E,some college,free/reduced,none,71,76,70,72.33333333333333,Pass,217,3.214550253664318,Good,0,0
male,group C,bachelor's degree,standard,none,69,63,61,64.33333333333333,Pass,193,4.163331998932265,Average,0,1
male,group C,some college,standard,none,58,49,42,49.666666666666664,Fail,149,8.020806277010644,Poor,0,1
female,group D,associate's degree,free/reduced,none,47,53,58,52.666666666666664,Fail,158,5.507570547286102,Below Average,0,0
female,group D,some college,standard,none,65,70,71,68.66666666666667,Pass,206,3.2145502536643185,Average,0,1
